Sprite: x=325, y=0, w=22, h=29
Sprite: x=364, y=0, w=24, h=29
Sprite: x=404, y=4, w=24, h=22
Sprite: x=10, y=7, w=12, h=15
Sprite: x=50, y=7, w=12, h=15
Sprite: x=88, y=7, w=15, h=16
Sprite: x=128, y=7, w=16, h=16
Sprite: x=169, y=7, w=14, h=16
Sprite: x=209, y=7, w=13, h=15
Sprite: x=249, y=7, w=13, h=16
Sprite: x=323, y=43, w=26, h=24
Sprite: x=8, y=47, w=16, h=16
Sprite: x=49, y=47, w=14, h=16
Sprite: x=88, y=47, w=16, h=16
Sprite: x=168, y=47, w=16, h=16
Sprite: x=209, y=47, w=14, h=15
Sprite: x=249, y=47, w=14, h=16
Sprite: x=361, y=49, w=34, h=16
Sprite: x=404, y=50, w=24, h=10
Sprite: x=168, y=79, w=16, h=31
Sprite: x=9, y=80, w=14, h=30
Sprite: x=48, y=80, w=16, h=30
Sprite: x=88, y=80, w=16, h=29
Sprite: x=128, y=80, w=16, h=30
Sprite: x=288, y=80, w=15, h=30
Sprite: x=249, y=81, w=14, h=28
Sprite: x=209, y=82, w=14, h=26
Sprite: x=328, y=83, w=16, h=24
Sprite: x=368, y=83, w=16, h=23
Sprite: x=408, y=83, w=16, h=23
Sprite: x=8, y=120, w=16, h=29
Sprite: x=48, y=120, w=16, h=29
Sprite: x=88, y=120, w=16, h=30
Sprite: x=167, y=121, w=18, h=27
Sprite: x=206, y=121, w=20, h=27
Sprite: x=246, y=122, w=20, h=26
Sprite: x=318, y=123, w=16, h=23
Sprite: x=337, y=123, w=16, h=23
Sprite: x=364, y=123, w=24, h=23
Sprite: x=396, y=123, w=40, h=23
Sprite: x=128, y=124, w=16, h=22
Sprite: x=168, y=159, w=16, h=31
Sprite: x=9, y=160, w=14, h=30
Sprite: x=48, y=160, w=16, h=30
Sprite: x=88, y=160, w=16, h=29
Sprite: x=128, y=160, w=16, h=30
Sprite: x=288, y=160, w=15, h=30
Sprite: x=249, y=161, w=14, h=28
Sprite: x=209, y=162, w=14, h=26
Sprite: x=348, y=163, w=16, h=24
Sprite: x=331, y=165, w=14, h=22
Sprite: x=367, y=165, w=14, h=22
Sprite: x=368, y=199, w=15, h=32
Sprite: x=8, y=200, w=16, h=29
Sprite: x=48, y=200, w=16, h=29
Sprite: x=88, y=200, w=16, h=30
Sprite: x=328, y=200, w=16, h=30
Sprite: x=167, y=201, w=18, h=27
Sprite: x=206, y=201, w=20, h=27
Sprite: x=246, y=202, w=20, h=26
Sprite: x=128, y=204, w=16, h=22
Sprite: x=128, y=243, w=16, h=23
Sprite: x=168, y=243, w=16, h=24
Sprite: x=208, y=243, w=16, h=24
Sprite: x=248, y=243, w=16, h=23
Sprite: x=8, y=247, w=16, h=16
Sprite: x=48, y=247, w=16, h=16
Sprite: x=288, y=248, w=16, h=14
Sprite: x=328, y=248, w=16, h=14
Sprite: x=368, y=248, w=16, h=14
Sprite: x=408, y=248, w=16, h=14
Sprite: x=128, y=283, w=16, h=23
Sprite: x=168, y=283, w=16, h=24
Sprite: x=208, y=283, w=16, h=24
Sprite: x=248, y=283, w=16, h=23
Sprite: x=8, y=287, w=16, h=16
Sprite: x=48, y=287, w=16, h=16
Sprite: x=288, y=288, w=16, h=14
Sprite: x=328, y=288, w=16, h=14
Sprite: x=368, y=288, w=16, h=14
Sprite: x=408, y=288, w=16, h=14
Sprite: x=409, y=319, w=14, h=16
Sprite: x=8, y=323, w=16, h=24
Sprite: x=248, y=323, w=16, h=23
Sprite: x=288, y=323, w=16, h=23
Sprite: x=48, y=327, w=16, h=16
Sprite: x=88, y=327, w=16, h=16
Sprite: x=128, y=327, w=16, h=16
Sprite: x=168, y=327, w=16, h=16
Sprite: x=208, y=327, w=16, h=16
Sprite: x=324, y=327, w=63, h=16
Sprite: x=409, y=347, w=14, h=16
Sprite: x=368, y=358, w=15, h=34
Sprite: x=8, y=363, w=16, h=24
Sprite: x=248, y=363, w=15, h=23
Sprite: x=288, y=363, w=16, h=24
Sprite: x=328, y=363, w=16, h=24
Sprite: x=48, y=367, w=16, h=16
Sprite: x=88, y=367, w=16, h=15
Sprite: x=128, y=367, w=16, h=16
Sprite: x=169, y=367, w=14, h=16
Sprite: x=209, y=367, w=14, h=16
Sprite: x=409, y=375, w=14, h=16
Sprite: x=0, y=397, w=32, h=35
Sprite: x=80, y=397, w=32, h=35
Sprite: x=120, y=397, w=31, h=36
Sprite: x=160, y=397, w=32, h=35
Sprite: x=40, y=398, w=32, h=34
Sprite: x=202, y=408, w=27, h=14
Sprite: x=244, y=408, w=24, h=13
Sprite: x=284, y=408, w=21, h=14
