--- items-coins.png ---
Sprite: x=0, y=0, w=194, h=92
--- blocks.png ---
Sprite: x=86, y=4, w=11, h=12
Sprite: x=139, y=4, w=11, h=12
Sprite: x=151, y=4, w=5, h=12
Sprite: x=180, y=4, w=10, h=12
Sprite: x=303, y=4, w=11, h=12
Sprite: x=344, y=4, w=10, h=12
Sprite: x=368, y=4, w=11, h=12
Sprite: x=380, y=4, w=5, h=12
Sprite: x=408, y=4, w=10, h=12
Sprite: x=98, y=5, w=10, h=11
Sprite: x=109, y=5, w=5, h=11
Sprite: x=116, y=5, w=10, h=11
Sprite: x=158, y=5, w=10, h=11
Sprite: x=169, y=5, w=10, h=11
Sprite: x=191, y=5, w=10, h=11
Sprite: x=315, y=5, w=10, h=11
Sprite: x=326, y=5, w=5, h=11
Sprite: x=333, y=5, w=10, h=11
Sprite: x=386, y=5, w=10, h=11
Sprite: x=397, y=5, w=10, h=11
Sprite: x=420, y=5, w=10, h=11
Sprite: x=74, y=25, w=7, h=8
Sprite: x=129, y=25, w=6, h=8
Sprite: x=171, y=25, w=7, h=8
Sprite: x=186, y=25, w=6, h=8
Sprite: x=242, y=25, w=6, h=8
Sprite: x=282, y=25, w=7, h=8
Sprite: x=337, y=25, w=6, h=8
Sprite: x=364, y=25, w=7, h=8
Sprite: x=379, y=25, w=6, h=8
Sprite: x=435, y=25, w=6, h=8
Sprite: x=82, y=26, w=6, h=7
Sprite: x=89, y=26, w=6, h=7
Sprite: x=96, y=26, w=6, h=7
Sprite: x=103, y=26, w=7, h=7
Sprite: x=111, y=26, w=6, h=7
Sprite: x=118, y=26, w=6, h=7
Sprite: x=179, y=26, w=6, h=7
Sprite: x=193, y=26, w=6, h=7
Sprite: x=200, y=26, w=6, h=7
Sprite: x=207, y=26, w=6, h=9
Sprite: x=214, y=26, w=6, h=7
Sprite: x=221, y=26, w=6, h=7
Sprite: x=228, y=26, w=6, h=7
Sprite: x=235, y=26, w=6, h=7
Sprite: x=290, y=26, w=6, h=7
Sprite: x=297, y=26, w=6, h=7
Sprite: x=304, y=26, w=6, h=7
Sprite: x=311, y=26, w=7, h=7
Sprite: x=319, y=26, w=6, h=7
Sprite: x=326, y=26, w=6, h=7
Sprite: x=372, y=26, w=6, h=7
Sprite: x=386, y=26, w=6, h=7
Sprite: x=393, y=26, w=6, h=7
Sprite: x=400, y=26, w=6, h=9
Sprite: x=407, y=26, w=6, h=7
Sprite: x=414, y=26, w=6, h=7
Sprite: x=421, y=26, w=6, h=7
Sprite: x=428, y=26, w=6, h=7
Sprite: x=74, y=38, w=7, h=8
Sprite: x=89, y=38, w=6, h=8
Sprite: x=125, y=38, w=4, h=7
Sprite: x=171, y=38, w=7, h=8
Sprite: x=193, y=38, w=4, h=7
Sprite: x=282, y=38, w=7, h=8
Sprite: x=297, y=38, w=6, h=8
Sprite: x=333, y=38, w=4, h=7
Sprite: x=364, y=38, w=7, h=8
Sprite: x=386, y=38, w=4, h=7
Sprite: x=82, y=39, w=6, h=7
Sprite: x=96, y=39, w=6, h=7
Sprite: x=103, y=39, w=6, h=7
Sprite: x=110, y=39, w=7, h=7
Sprite: x=118, y=39, w=6, h=7
Sprite: x=131, y=39, w=6, h=7
Sprite: x=138, y=39, w=6, h=7
Sprite: x=179, y=39, w=6, h=7
Sprite: x=186, y=39, w=6, h=7
Sprite: x=203, y=39, w=6, h=7
Sprite: x=290, y=39, w=6, h=7
Sprite: x=304, y=39, w=6, h=7
Sprite: x=311, y=39, w=6, h=7
Sprite: x=318, y=39, w=7, h=7
Sprite: x=326, y=39, w=6, h=7
Sprite: x=339, y=39, w=6, h=7
Sprite: x=346, y=39, w=6, h=7
Sprite: x=372, y=39, w=6, h=7
Sprite: x=379, y=39, w=6, h=7
Sprite: x=396, y=39, w=6, h=7
Sprite: x=294, y=62, w=6, h=5
Sprite: x=390, y=62, w=6, h=5
Sprite: x=308, y=64, w=8, h=4
Sprite: x=404, y=64, w=8, h=4
Sprite: x=85, y=66, w=8, h=8
Sprite: x=181, y=66, w=8, h=8
Sprite: x=276, y=66, w=8, h=8
Sprite: x=372, y=66, w=8, h=8
Sprite: x=151, y=67, w=6, h=4
Sprite: x=247, y=67, w=6, h=4
Sprite: x=342, y=67, w=6, h=4
Sprite: x=438, y=67, w=6, h=4
Sprite: x=295, y=69, w=8, h=4
Sprite: x=391, y=69, w=8, h=4
Sprite: x=340, y=74, w=8, h=6
Sprite: x=436, y=74, w=8, h=6
Sprite: x=149, y=75, w=8, h=6
Sprite: x=245, y=75, w=8, h=6
Sprite: x=308, y=76, w=8, h=4
Sprite: x=404, y=76, w=8, h=4
Sprite: x=280, y=80, w=4, h=4
Sprite: x=376, y=80, w=4, h=4
Sprite: x=89, y=81, w=4, h=4
Sprite: x=185, y=81, w=4, h=4
Sprite: x=279, y=86, w=5, h=4
Sprite: x=375, y=86, w=5, h=4
Sprite: x=88, y=87, w=5, h=4
Sprite: x=184, y=87, w=5, h=4
Sprite: x=87, y=94, w=6, h=4
Sprite: x=183, y=94, w=6, h=4
Sprite: x=278, y=94, w=6, h=4
Sprite: x=342, y=94, w=6, h=4
