SPRITE ANALYSIS REPORT
======================================================================

Found by scanner: 111 sprites
Defined in assets.json: 24 sprites
Matched: 19
Undefined (found but not mapped): 92
Potentially wrong coords: 0

UNDEFINED SPRITES:
  x=325, y=0, w=22, h=29
  x=364, y=0, w=24, h=29
  x=404, y=4, w=24, h=22
  x=50, y=7, w=12, h=15
  x=88, y=7, w=15, h=16
  x=128, y=7, w=16, h=16
  x=169, y=7, w=14, h=16
  x=209, y=7, w=13, h=15
  x=249, y=7, w=13, h=16
  x=323, y=43, w=26, h=24
  x=8, y=47, w=16, h=16
  x=49, y=47, w=14, h=16
  x=88, y=47, w=16, h=16
  x=361, y=49, w=34, h=16
  x=404, y=50, w=24, h=10
  x=168, y=79, w=16, h=31
  x=9, y=80, w=14, h=30
  x=48, y=80, w=16, h=30
  x=88, y=80, w=16, h=29
  x=128, y=80, w=16, h=30
  x=288, y=80, w=15, h=30
  x=249, y=81, w=14, h=28
  x=209, y=82, w=14, h=26
  x=328, y=83, w=16, h=24
  x=368, y=83, w=16, h=23
  x=408, y=83, w=16, h=23
  x=8, y=120, w=16, h=29
  x=48, y=120, w=16, h=29
  x=88, y=120, w=16, h=30
  x=167, y=121, w=18, h=27
  x=206, y=121, w=20, h=27
  x=246, y=122, w=20, h=26
  x=318, y=123, w=16, h=23
  x=337, y=123, w=16, h=23
  x=364, y=123, w=24, h=23
  x=396, y=123, w=40, h=23
  x=128, y=124, w=16, h=22
  x=168, y=159, w=16, h=31
  x=9, y=160, w=14, h=30
  x=48, y=160, w=16, h=30
  x=88, y=160, w=16, h=29
  x=128, y=160, w=16, h=30
  x=288, y=160, w=15, h=30
  x=249, y=161, w=14, h=28
  x=209, y=162, w=14, h=26
  x=348, y=163, w=16, h=24
  x=331, y=165, w=14, h=22
  x=367, y=165, w=14, h=22
  x=368, y=199, w=15, h=32
  x=8, y=200, w=16, h=29
  x=48, y=200, w=16, h=29
  x=88, y=200, w=16, h=30
  x=328, y=200, w=16, h=30
  x=167, y=201, w=18, h=27
  x=206, y=201, w=20, h=27
  x=246, y=202, w=20, h=26
  x=128, y=204, w=16, h=22
  x=128, y=243, w=16, h=23
  x=168, y=243, w=16, h=24
  x=48, y=247, w=16, h=16
  x=368, y=248, w=16, h=14
  x=408, y=248, w=16, h=14
  x=128, y=283, w=16, h=23
  x=168, y=283, w=16, h=24
  x=8, y=287, w=16, h=16
  x=48, y=287, w=16, h=16
  x=288, y=288, w=16, h=14
  x=328, y=288, w=16, h=14
  x=368, y=288, w=16, h=14
  x=408, y=288, w=16, h=14
  x=409, y=319, w=14, h=16
  x=88, y=327, w=16, h=16
  x=128, y=327, w=16, h=16
  x=168, y=327, w=16, h=16
  x=409, y=347, w=14, h=16
  x=368, y=358, w=15, h=34
  x=8, y=363, w=16, h=24
  x=288, y=363, w=16, h=24
  x=328, y=363, w=16, h=24
  x=48, y=367, w=16, h=16
  x=88, y=367, w=16, h=15
  x=128, y=367, w=16, h=16
  x=169, y=367, w=14, h=16
  x=409, y=375, w=14, h=16
  x=0, y=397, w=32, h=35
  x=80, y=397, w=32, h=35
  x=120, y=397, w=31, h=36
  x=160, y=397, w=32, h=35
  x=40, y=398, w=32, h=34
  x=202, y=408, w=27, h=14
  x=244, y=408, w=24, h=13
  x=284, y=408, w=21, h=14

POTENTIALLY WRONG COORDS:
